Method: default, Chunksize: 12, Threshold: 0.25, Size: 3.59072
Method: default, Chunksize: 12, Threshold: 0.3, Size: 3.89583
Method: default, Chunksize: 12, Threshold: 0.35, Size: 4.16298
Method: default, Chunksize: 12, Threshold: 0.4, Size: 4.40734
Method: default, Chunksize: 12, Threshold: 0.45, Size: 4.63904
Method: default, Chunksize: 12, Threshold: 0.5, Size: 4.82476
Method: default, Chunksize: 12, Threshold: 0.55, Size: 5.00338
Method: default, Chunksize: 12, Threshold: 0.6, Size: 5.13588
Method: default, Chunksize: 12, Threshold: 0.65, Size: 5.23093
Method: default, Chunksize: 12, Threshold: 0.7, Size: 5.2976
Method: default, Chunksize: 12, Threshold: 0.75, Size: 5.34052
Method: default, Chunksize: 12, Threshold: 0.8, Size: 5.34052
Method: default, Chunksize: 12, Threshold: 0.85, Size: 5.34052
Method: default, Chunksize: 12, Threshold: 0.9, Size: 5.34052
Method: default, Chunksize: 12, Threshold: 0.95, Size: 5.34052
Method: default, Chunksize: 12, Threshold: 1, Size: 5.34052
Method: default, Chunksize: 13, Threshold: 0.05, Size: 2.72024
Method: default, Chunksize: 13, Threshold: 0.1, Size: 2.94106
Method: default, Chunksize: 13, Threshold: 0.15, Size: 3.1826
Method: default, Chunksize: 13, Threshold: 0.2, Size: 3.38415
Method: default, Chunksize: 13, Threshold: 0.25, Size: 3.63299
Method: default, Chunksize: 13, Threshold: 0.3, Size: 3.89069
Method: default, Chunksize: 13, Threshold: 0.35, Size: 4.12987
Method: default, Chunksize: 13, Threshold: 0.4, Size: 4.34468
Method: default, Chunksize: 13, Threshold: 0.45, Size: 4.55863
Method: default, Chunksize: 13, Threshold: 0.5, Size: 4.7322
Method: default, Chunksize: 13, Threshold: 0.55, Size: 4.90984
Method: default, Chunksize: 13, Threshold: 0.6, Size: 5.04582
Method: default, Chunksize: 13, Threshold: 0.65, Size: 5.16532
Method: default, Chunksize: 13, Threshold: 0.7, Size: 5.25272
Method: default, Chunksize: 13, Threshold: 0.75, Size: 5.34052
Method: default, Chunksize: 13, Threshold: 0.8, Size: 5.34052
Method: default, Chunksize: 13, Threshold: 0.85, Size: 5.34052
Method: default, Chunksize: 13, Threshold: 0.9, Size: 5.34052
Method: default, Chunksize: 13, Threshold: 0.95, Size: 5.34052
Method: default, Chunksize: 13, Threshold: 1, Size: 5.34052
Method: default, Chunksize: 14, Threshold: 0.05, Size: 2.91378
Method: default, Chunksize: 14, Threshold: 0.1, Size: 3.07157
Method: default, Chunksize: 14, Threshold: 0.15, Size: 3.2425
Method: default, Chunksize: 14, Threshold: 0.2, Size: 3.43773
Method: default, Chunksize: 14, Threshold: 0.25, Size: 3.64194
Method: default, Chunksize: 14, Threshold: 0.3, Size: 3.85441
Method: default, Chunksize: 14, Threshold: 0.35, Size: 4.06663
Method: default, Chunksize: 14, Threshold: 0.4, Size: 4.25938
Method: default, Chunksize: 14, Threshold: 0.45, Size: 4.45287
Method: default, Chunksize: 14, Threshold: 0.5, Size: 4.61837
Method: default, Chunksize: 14, Threshold: 0.55, Size: 4.79499
Method: default, Chunksize: 14, Threshold: 0.6, Size: 4.93696
Method: default, Chunksize: 14, Threshold: 0.65, Size: 5.08221
Method: default, Chunksize: 14, Threshold: 0.7, Size: 5.20437
Method: default, Chunksize: 14, Threshold: 0.75, Size: 5.34052
Method: default, Chunksize: 14, Threshold: 0.8, Size: 5.34052
Method: default, Chunksize: 14, Threshold: 0.85, Size: 5.34052
Method: default, Chunksize: 14, Threshold: 0.9, Size: 5.34052
Method: default, Chunksize: 14, Threshold: 0.95, Size: 5.34052
Method: default, Chunksize: 14, Threshold: 1, Size: 5.34052
